Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,103.000000,103.000000,100.000000,101.000000,101.000000,2843500
2022-04-11,101.000000,112.000000,99.000000,106.000000,106.000000,9145200
2022-04-12,106.000000,109.000000,101.000000,106.000000,106.000000,1599300
2022-04-13,99.000000,106.000000,99.000000,100.000000,100.000000,850900
2022-04-14,98.000000,105.000000,98.000000,104.000000,104.000000,3654700
2022-04-18,97.000000,125.000000,97.000000,104.000000,104.000000,46260300
2022-04-19,104.000000,108.000000,101.000000,105.000000,105.000000,4639300
2022-04-20,101.000000,106.000000,101.000000,102.000000,102.000000,1621700
2022-04-21,95.000000,106.000000,95.000000,99.000000,99.000000,5179000
2022-04-22,98.000000,112.000000,98.000000,102.000000,102.000000,15486000
2022-04-25,105.000000,105.000000,97.000000,99.000000,99.000000,3892500
2022-04-26,100.000000,100.000000,94.000000,96.000000,96.000000,3197000
2022-04-27,97.000000,97.000000,93.000000,94.000000,94.000000,1337200
2022-04-28,95.000000,95.000000,93.000000,94.000000,94.000000,599700
2022-05-09,89.000000,95.000000,89.000000,94.000000,94.000000,922600
2022-05-10,90.000000,103.000000,90.000000,96.000000,96.000000,10541600
2022-05-11,96.000000,97.000000,93.000000,95.000000,95.000000,933900
2022-05-12,96.000000,98.000000,93.000000,96.000000,96.000000,1146800
2022-05-13,90.000000,98.000000,90.000000,97.000000,97.000000,861300
2022-05-17,93.000000,98.000000,93.000000,98.000000,98.000000,320000
2022-05-18,98.000000,106.000000,96.000000,99.000000,99.000000,8370100
2022-05-19,98.000000,102.000000,98.000000,99.000000,99.000000,1644600
2022-05-20,99.000000,101.000000,99.000000,99.000000,99.000000,479400
2022-05-23,93.000000,100.000000,93.000000,98.000000,98.000000,605100
2022-05-24,100.000000,103.000000,99.000000,102.000000,102.000000,2203500
2022-05-25,102.000000,103.000000,101.000000,102.000000,102.000000,788600
2022-05-27,103.000000,110.000000,102.000000,109.000000,109.000000,2181100
2022-05-30,106.000000,119.000000,106.000000,116.000000,116.000000,10455000
2022-05-31,119.000000,125.000000,116.000000,122.000000,122.000000,14302900
2022-06-02,122.000000,125.000000,114.000000,114.000000,114.000000,13323300
2022-06-03,107.000000,120.000000,107.000000,116.000000,116.000000,8269600
2022-06-06,108.000000,155.000000,108.000000,146.000000,146.000000,64021800
2022-06-07,147.000000,150.000000,136.000000,136.000000,136.000000,25229500
2022-06-08,127.000000,140.000000,127.000000,134.000000,134.000000,6606700
2022-06-09,134.000000,167.000000,134.000000,150.000000,150.000000,44865100
2022-06-10,172.000000,172.000000,143.000000,155.000000,155.000000,16840300
2022-06-13,146.000000,178.000000,146.000000,157.000000,157.000000,74780100
2022-06-14,158.000000,169.000000,152.000000,160.000000,160.000000,20985300
2022-06-15,162.000000,168.000000,154.000000,156.000000,156.000000,12529200
2022-06-16,155.000000,164.000000,153.000000,159.000000,159.000000,8312800
2022-06-17,160.000000,187.000000,160.000000,161.000000,161.000000,49528800
2022-06-20,161.000000,168.000000,158.000000,165.000000,165.000000,8883600
2022-06-21,170.000000,183.000000,169.000000,175.000000,175.000000,20043400
2022-06-22,176.000000,182.000000,170.000000,178.000000,178.000000,18122000
2022-06-23,178.000000,180.000000,166.000000,166.000000,166.000000,20532700
2022-06-24,158.000000,167.000000,155.000000,155.000000,155.000000,15314700
2022-06-27,150.000000,163.000000,147.000000,162.000000,162.000000,10007000
2022-06-28,162.000000,172.000000,162.000000,172.000000,172.000000,9192000
2022-06-29,173.000000,173.000000,165.000000,170.000000,170.000000,5738300
2022-06-30,170.000000,170.000000,159.000000,159.000000,159.000000,8372500
2022-07-01,150.000000,158.000000,148.000000,154.000000,154.000000,13202400
2022-07-04,158.000000,161.000000,147.000000,149.000000,149.000000,11754400
2022-07-05,142.000000,156.000000,142.000000,146.000000,146.000000,5296100
2022-07-06,140.000000,148.000000,140.000000,142.000000,142.000000,2404300
2022-07-07,134.000000,145.000000,134.000000,142.000000,142.000000,1296700
2022-07-08,135.000000,148.000000,135.000000,145.000000,145.000000,2463300
2022-07-11,145.000000,151.000000,145.000000,151.000000,151.000000,2995900
2022-07-12,142.000000,152.000000,142.000000,151.000000,151.000000,1638600
2022-07-13,151.000000,151.000000,146.000000,148.000000,148.000000,1186300
2022-07-14,142.000000,151.000000,142.000000,151.000000,151.000000,1183200
2022-07-15,146.000000,151.000000,146.000000,147.000000,147.000000,1736400
2022-07-18,146.000000,148.000000,142.000000,144.000000,144.000000,2144600
2022-07-19,144.000000,146.000000,143.000000,145.000000,145.000000,1491200
2022-07-20,143.000000,148.000000,143.000000,147.000000,147.000000,1354500
2022-07-21,145.000000,150.000000,145.000000,147.000000,147.000000,1049500
2022-07-22,147.000000,166.000000,147.000000,155.000000,155.000000,12968600
