Date,Open,High,Low,Close,Adj Close,Volume
2022-04-22,1135.0,1135.0,1110.0,1120.0,1049.8687744140625,3894800
2022-04-25,1120.0,1120.0,1045.0,1050.0,984.251953125,10680800
2022-04-26,1050.0,1080.0,1040.0,1080.0,1012.3734130859375,9686100
2022-04-27,1100.0,1105.0,1070.0,1085.0,1017.0603637695312,7879700
2022-04-28,1075.0,1080.0,1035.0,1065.0,998.3126831054688,7390000
2022-05-09,1050.0,1080.0,1020.0,1065.0,998.3126831054688,7099900
2022-05-10,1065.0,1080.0,1010.0,1050.0,984.251953125,10151400
2022-05-11,1050.0,1090.0,1030.0,1080.0,1012.3734130859375,9296800
2022-05-12,1085.0,1090.0,1035.0,1040.0,974.8781127929688,6890700
2022-05-13,1040.0,1065.0,1030.0,1060.0,993.6257934570312,9799500
2022-05-17,1060.0,1100.0,1040.0,1095.0,1026.4342041015625,9987700
2022-05-18,1095.0,1110.0,1070.0,1090.0,1021.7472534179688,6576400
2022-05-19,1125.0,1160.0,1070.0,1150.0,1077.990234375,15195000
2022-05-20,1160.0,1205.0,1160.0,1180.0,1106.1116943359375,11761900
2022-05-23,1170.0,1220.0,1170.0,1180.0,1106.1116943359375,14494300
2022-05-24,1180.0,1240.0,1175.0,1220.0,1143.6070556640625,12157200
2022-05-25,1230.0,1265.0,1220.0,1260.0,1181.102294921875,15978200
2022-05-27,1260.0,1280.0,1210.0,1260.0,1181.102294921875,11856300
2022-05-30,1270.0,1270.0,1235.0,1240.0,1162.354736328125,5445000
2022-05-31,1240.0,1320.0,1240.0,1320.0,1237.3453369140625,16627000
2022-06-02,1325.0,1325.0,1250.0,1280.0,1199.8499755859375,11217600
2022-06-03,1210.0,1245.0,1200.0,1210.0,1210.0,8798200
2022-06-06,1210.0,1250.0,1210.0,1240.0,1240.0,13082000
2022-06-07,1235.0,1265.0,1220.0,1225.0,1225.0,8109300
2022-06-08,1225.0,1245.0,1205.0,1245.0,1245.0,8424600
2022-06-09,1250.0,1250.0,1200.0,1200.0,1200.0,5148300
2022-06-10,1190.0,1210.0,1170.0,1170.0,1170.0,3877300
2022-06-13,1150.0,1170.0,1110.0,1115.0,1115.0,5625600
2022-06-14,1110.0,1150.0,1110.0,1135.0,1135.0,7427600
2022-06-15,1145.0,1145.0,1080.0,1115.0,1115.0,3809900
2022-06-16,1115.0,1125.0,1085.0,1100.0,1100.0,6017400
2022-06-17,1100.0,1100.0,1060.0,1100.0,1100.0,6631600
2022-06-20,1090.0,1100.0,1045.0,1085.0,1085.0,6439200
2022-06-21,1085.0,1085.0,1045.0,1080.0,1080.0,7456500
2022-06-22,1085.0,1100.0,1065.0,1090.0,1090.0,7593200
2022-06-23,1090.0,1090.0,1030.0,1055.0,1055.0,6023400
2022-06-24,1070.0,1160.0,1070.0,1155.0,1155.0,15459500
2022-06-27,1180.0,1180.0,1120.0,1150.0,1150.0,10261000
